code,uic,name,slug,latitude,longitude,province,municipality,type,active
PT,8400509,Putten,putten,52.264999,5.575278,Gelderland,Putten,stoptreinstation,1
RAT,8400513,Raalte,raalte,52.391666,6.277500,Overijssel,Raalte,stoptreinstation,1
RVS,8400515,Ravenstein,ravenstein,51.794167,5.635833,Noord-Brabant,Oss,stoptreinstation,1
RV,8400518,Reuver,reuver,51.283219,6.078959,Limburg,Beesel,stoptreinstation,1
RH,8400519,Rheden,rheden,52.010100,6.031400,Gelderland,Rheden,stoptreinstation,1
RHN,8400517,Rhenen,rhenen,51.958611,5.578333,Utrecht,Rhenen,knooppuntStoptreinstation,1
RSN,8400538,Rijssen,rijssen,52.312222,6.520278,Overijssel,Rijssen-Holten,stoptreinstation,1
RSW,8400505,Rijswijk,rijswijk,52.039722,4.319167,Zuid-Holland,Rijswijk (ZH.),stoptreinstation,1
RB,8400521,Rilland-Bath,rilland-bath,51.422779,4.161111,Zeeland,Reimerswaal,stoptreinstation,1
RM,8400523,Roermond,roermond,51.193054,5.994167,Limburg,Roermond,knooppuntIntercitystation,1
RD,8400525,Roodeschool,roodeschool,53.421262,6.758700,Groningen,Het Hogeland,stoptreinstation,1
RSD,8400526,Roosendaal,roosendaal,51.540279,4.458333,Noord-Brabant,Roosendaal,knooppuntIntercitystation,1
RS,8400524,Rosmalen,rosmalen,51.714722,5.368055,Noord-Brabant,'s-Hertogenbosch,stoptreinstation,1
RTA,8400507,Rotterdam Alexander,rotterdam-alexander,51.951946,4.553611,Zuid-Holland,Rotterdam,intercitystation,1
RTB,8400529,Rotterdam Blaak,rotterdam-blaak,51.920277,4.488889,Zuid-Holland,Rotterdam,stoptreinstation,1
RTD,8400530,Rotterdam Centraal,rotterdam-centraal,51.924999,4.468889,Zuid-Holland,Rotterdam,megastation,1
RLB,8400542,Rotterdam Lombardijen,rotterdam-lombardijen,51.880001,4.531389,Zuid-Holland,Rotterdam,stoptreinstation,1
RTN,8400531,Rotterdam Noord,rotterdam-noord,51.942223,4.481667,Zuid-Holland,Rotterdam,stoptreinstation,1
RTST,8400534,Rotterdam Stadion,rotterdam-stadion,51.893890,4.519722,Zuid-Holland,Rotterdam,facultatiefStation,0
RTZ,8400533,Rotterdam Zuid,rotterdam-zuid,51.904446,4.510278,Zuid-Holland,Rotterdam,stoptreinstation,1
RL,8400537,Ruurlo,ruurlo,52.081089,6.449266,Gelderland,Berkelland,stoptreinstation,1
SPTN,8400543,Santpoort Noord,santpoort-noord,52.433887,4.632500,Noord-Holland,Velsen,stoptreinstation,1
SPTZ,8400544,Santpoort Zuid,santpoort-zuid,52.419724,4.631389,Noord-Holland,Velsen,stoptreinstation,1
SSH,8400603,Sassenheim,sassenheim,52.215278,4.517222,Zuid-Holland,Teylingen,stoptreinstation,1
